Nlab;Sexo;Edad;Mhyo;ADV;SIV;HPS;APP;PCV;PM;Metastrongylus;NIntersticial;Bronconeumonia;Peribronquitis;Bronquitis;Necrosis;TB
1698;Hembra;1.5;Negativo;Positivo;Positivo;Negativo;Negativo;Negativo;Negativo;NA;1;0;0;0;0;Positivo
1699;Hembra;3;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;2;0;0;0;0;Positivo
1700;Hembra;3;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;2;0;0;0;0;Positivo
1701;Hembra;3;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;2;0;2;3;0;Positivo
1702;Hembra;NA;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;2;0;2;0;0;Positivo
1712;Macho;2.5;Positivo;Negativo;Negativo;Negativo;Positivo;Positivo;Negativo;NA;0;0;1;0;0;Negativo
1713;Hembra;3;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;NA;1;0;0;0;0;Positivo
1714;Hembra;4;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;NA;2;0;4;0;0;Positivo
1715;Macho;0.9;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;NA;4;0;1;0;0;Positivo
1716;Macho;3;Negativo;Positivo;Positivo;Negativo;Negativo;Negativo;Negativo;NA;1;0;4;0;0;Positivo
1717;Macho;0.9;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;4;4;6;4;0;Positivo
1740;Macho;1.5;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;Negativo
1755;Hembra;3;Negativo;Positivo;Positivo;Negativo;Negativo;Negativo;Negativo;1;3;0;1;0;0;Positivo
1757;Hembra;4;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;Negativo
1758;Hembra;3;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;11;0;2;2;0;0;Negativo
1759;Macho;3;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;3;0;0;1;0;0;NA
1764;Macho;4;NA;;Positivo;Negativo;Negativo;Negativo;Negativo;5;0;0;4;0;0;Negativo
1765;Macho;1.5;NA;;Positivo;Negativo;Negativo;Negativo;Negativo;3;0;0;4;3;0;Negativo
1768;Hembra;2;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;Negativo
1769;Hembra;1.5;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;1;0;4;5;0;NA
1771;Hembra;2.5;Positivo;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;16;1;0;2;0;0;NA
1772;Macho;1.5;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;2;4;0;5;0;0;Positivo
1774;Hembra;3;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;4;0;0;0;0;0;Positivo
1775;Macho;1.5;Positivo;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;1;0;0;3;0;0;Negativo
1776;Macho;NA;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;0;4;4;6;3;3;Positivo
1777;Macho;0.7;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;25;0;0;4;3;0;Negativo
1778;Macho;NA;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;2;4;3;6;0;3;Positivo
1779;Macho;3;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;20;5;0;2;0;5;Positivo
1780;Macho;NA;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;4;0;0;NA
1785;Hembra;3;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;4;0;0;0;0;NA
