NLab,Year,Finca,Densidad,Sexo,Edad,EdadClase,CondicionCorporal,ELISAInfluenza,ELISAPRRS,ELISAADV,ELISAPPV,ELISAPCV,ELISAPCV2,PCRMycoPul,PCRHaemoPul,PCRAPPPul,PCRPCVPul,Metastronguilus_Clas,Metastrongilus,Lesion_Pulm,Tipo,Duracion,Score,NL_TRQ,NIntersticial,Bronconeumonia,Pleuritis,Peribronquitis,Bronquitis,HiperNT2,Enfisema,Necrosis,Score_Micro,Tej_Conjuntivo,Granulomas,Granuloma_Pul,Tipo_Granuloma,Granuloma_NL,TB_Generalizada,TB
2293,2011-2012,PiedraSanta,13,Hembra,2.5,Adult,-8.350189841,NA,NA,NA,NA,NA,NA,Negativo,Negativo,Negativo,Positivo,Negativo,0,Si,Lob,Cronica,4,1,0,0,0,5,0,0,0,0,NA,0,0,No,NA,No,NA,Negativo
1807,2011-2012,CastilloVinuelas,NA,Hembra,2,Adult,9.256708837,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,0,No,NA,NA,NA,1,4,0,0,1,2,0,3,0,7,0,1,Si,1,Si,Generalizada,Positivo
1740,2011-2012,MorroLesmes,32,Macho,1.5,NonAdult,9.649810159,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,0,No,NA,NA,NA,0,0,0,1,0,0,0,1,0,1,0,0,No,NA,No,NA,Negativo
1757,2011-2012,MorroLesmes,32,Hembra,4,Adult,NA,Positivo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,0,Si,Lob,Subaguda,8,1,0,0,0,0,0,0,0,0,0,0,0,No,NA,No,NA,Negativo
1760,2011-2012,LasJaras,23,Hembra,4,Adult,-24.0260753,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,NA,NA,NA,NA,Negativo,0,No,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,No,NA,Negativo
2311,2011-2012,Campillo,26,Macho,5,Adult,0.418766106,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,0,No,NA,NA,NA,0,0,0,0,1,0,0,0,0,NA,0,0,No,NA,No,NA,Negativo
2363,2011-2012,LasJaras,23,Hembra,4,Adult,16.86360752,Positivo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,0,No,NA,NA,NA,0,0,0,0,1,1,0,1,0,2,0,0,No,NA,No,NA,Negativo
2365,2011-2012,LasJaras,23,Hembra,1.9,NonAdult,32.53949298,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,0,No,NA,NA,NA,1,0,3,0,6,3,0,0,0,12,3,0,No,NA,No,NA,Negativo
2356,2011-2012,Valdecasillas,17,Hembra,3.5,Adult,6.060158176,Positivo,Negativo,Positivo,Positivo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,0,No,NA,NA,NA,0,0,0,0,1,0,0,1,0,NA,0,0,No,NA,Si,Positivo,Positivo
1776,2011-2012,Elcristo,24,Macho,NA,NA,-2.246709665,Negativo,Negativo,Positivo,Negativo,InfReciente,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,0,Si,NoLob,Cronica,2,2,4,4,4,6,3,0,0,3,24,0,6,Si,1_4,Si,Generalizada,Positivo
