NLab,Year,Densidad,Sexo,Edad,EdadClase,CondicionCorporal,ELISAInfluenza,ELISAPRRS,ELISAADV,ELISAPPV,ELISAPCV,ELISAPCV2,PCRMycoPul,PCRHaemoPul,PCRAPPPul,PCRPCVPul,Metastronguilus_Clas,Metastrongilus,Lesion_Pulm,Tipo,Duracion,Score,NL_TRQ,NIntersticial,Bronconeumonia,Pleuritis,Peribronquitis,Bronquitis,HiperNT2,Enfisema,Necrosis,Score_Micro,Tej_Conjuntivo,Granulomas,Granuloma_Pul,Tipo_Granuloma,Granuloma_NL,TB_Generalizada,TB
2293,2011-2012,13.0,Hembra,2.5,Adult,-8.350189841,,,,,,,Negativo,Negativo,Negativo,Positivo,Negativo,0.0,Si,Lob,Cronica,4.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,No,,No,,Negativo
1807,2011-2012,,Hembra,2.0,Adult,9.256708837,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,0.0,No,,,,1.0,4.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,7.0,0.0,1.0,Si,1,Si,Generalizada,Positivo
1740,2011-2012,32.0,Macho,1.5,NonAdult,9.649810159,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,0.0,No,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,No,,No,,Negativo
1757,2011-2012,32.0,Hembra,4.0,Adult,,Positivo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,0.0,Si,Lob,Subaguda,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,No,,Negativo
1760,2011-2012,23.0,Hembra,4.0,Adult,-24.0260753,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,,,,,Negativo,0.0,No,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,No,,Negativo
2311,2011-2012,26.0,Macho,5.0,Adult,0.418766106,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,0.0,No,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,No,,No,,Negativo
2363,2011-2012,23.0,Hembra,4.0,Adult,16.86360752,Positivo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,0.0,No,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,No,,No,,Negativo
2365,2011-2012,23.0,Hembra,1.9,NonAdult,32.53949298,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,0.0,No,,,,1.0,0.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0,12.0,3.0,0.0,No,,No,,Negativo
2356,2011-2012,17.0,Hembra,3.5,Adult,6.060158176,Positivo,Negativo,Positivo,Positivo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,0.0,No,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,No,,Si,Positivo,Positivo
1776,2011-2012,24.0,Macho,,,-2.246709665,Negativo,Negativo,Positivo,Negativo,InfReciente,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,0.0,Si,NoLob,Cronica,2.0,2.0,4.0,4.0,4.0,6.0,3.0,0.0,0.0,3.0,24.0,0.0,6.0,Si,1_4,Si,Generalizada,Positivo
