;Edad;z;Abertura_A;Abertura_B;Raiz_A;Raiz_B;Superficie_A;Superficie_B
1;6;2;0;0;41.66;36.13;20.74;16.27
2;6.5;2;0;0;43.96;38.56;15.21;17.92
3;6;1;0;0;28.53;38.21;18.06;19.74
4;4;2;0;0;9.26;31.56;40.62;20.5
5;6;1;0;0;50.2;46.16;20.26;23.68
6;5;1;0;0;36.06;35.79;23.19;24.39
7;7.5;1;0;0;50.52;43.66;17.68;26.23
8;5;1;0;0;39.55;38.15;19.83;26.24
9;6.5;2;0;0;35.73;35.97;19.41;27.21
10;7.5;2;0;0;36.69;35.99;26.52;28.08
11;8.5;2;0;0;41.74;34.91;22.32;28.52
12;6;2;0;0;41.02;33.62;17.55;29.12
13;5;1;0;0;43.57;38.21;25.38;29.14
14;6;2;0;0;36.76;33.27;18.77;29.61
15;7.5;2;0;0;44.47;38.67;25.96;30.79
16;4.5;2;0;0;36.53;33.24;23.72;30.84
17;7.5;2;0;0;41.02;33.66;26.71;31.42
18;7.5;2;0;0;36.32;31.34;26.37;31.52
19;7.5;2;0;0;48.76;36.65;24.43;32.34
20;8.5;2;0;0;39.32;34.35;28.53;32.41
21;7.5;2;0;0;38.15;34.68;23.4;32.98
22;6;1;0;0;42.4;37.18;29.45;34.31
23;7.5;2;0;0;42.98;29.16;34.71;35.38
24;6;2;0;0;32.62;27.83;27.56;36.53
25;5;2;0;0;30.11;26.39;29.71;38.62
26;6.5;1;0;0;43.65;40.67;27.31;39.79
27;5;2;0;0;31.15;24.35;28.17;40.41
28;6;2;0;0;37.5;25.55;30.25;42.53
30;5.5;2;0.1;0.2;38.19;37.2;21.61;25.7
31;4.5;2;0.1;0.2;38.65;32.8;21.8;28.22
32;5;1;0.1;0.2;42.56;38.45;26.7;31.16
33;5.5;2;0.1;0.2;38.81;31.72;19.16;31.4
34;4.5;2;0.5;0.2;40.1;32.72;23.26;33.53
35;6;2;0.5;0.2;43.24;35.08;27.94;34.39
36;5.5;2;0.1;0.2;40;34.56;28.84;35.37
37;5.5;2;0.1;0.2;39.29;32.95;26.78;35.94
38;5.5;2;0.1;0.2;42.08;33.39;32.29;36.39
39;4.5;2;0.1;0.2;36.05;29.99;35.87;36.51
40;5.5;2;0.1;0.2;33.77;29.91;28.9;38.39
41;5;2;0.83;0.2;40.67;28.06;28.21;41.18
42;5.5;2;0.1;0.5;35.19;33.61;24.56;30.23
43;5.5;2;0.1;0.5;36.91;28.88;25.79;37.68
44;4;1;0.2;0.7;39;30.14;30.76;39.86
45;5.5;2;0.1;0.86;40.51;31.29;26.89;37.57
46;5;2;0.2;0.91;39.62;34.09;27.51;36.21
47;5.5;2;0.1;0.91;33.8;29.03;31.6;39.56
48;5;2;0.2;0.92;36.5;30.35;28.62;38.64
49;5.5;2;0.1;0.95;42.83;32.75;28.92;38.38
50;5;1;0.1;1.04;39.83;30.89;34.6;40.39
51;5.5;1;0.1;1.05;41.11;37.64;29.04;31.7
52;5;2;0.1;1.14;43.12;38.08;21.39;36.83
53;4.5;2;0.26;1.14;37.3;31.53;33.41;41.31
54;5.5;2;0.1;1.15;42.26;37.71;28;35.08
55;5;2;0.1;1.22;34.78;40.8;32.4;29.99
56;5;2;0.1;1.24;36.94;31.55;26.97;38.31
57;4;1;0.2;1.26;37.54;30.95;33.09;38.95
58;5.5;2;0.1;1.26;34.93;29.16;34.37;39.5
59;3.5;1;1.19;1.29;35.35;28.53;32.58;42.01
60;5;2;0.99;1.3;36.54;28.48;28.72;36.21
61;4;2;1.19;1.3;34.76;28.27;34.04;39.65
62;4.5;2;0.57;1.42;38.09;25.57;31.08;43.78
63;5;2;0.1;1.51;34.23;33.72;32.58;39.89
64;6;1;0.2;1.58;44.51;40.34;24.14;31.05
65;4.5;1;0.2;1.58;38.74;36.5;33;37.35
66;6.5;2;0.2;1.59;42.85;34.74;34.23;31.68
67;4.5;2;0.55;1.66;36.31;27.84;31.02;38.23
68;3.5;2;1.55;1.89;33.88;22.59;32.09;41.05
69;3;1;1.6;1.92;27.83;24.2;30.22;36.23
70;3.5;1;1.43;1.95;33.84;27.51;38.97;40.81
71;5;2;0.87;1.97;37.95;32.69;31.77;41.79
72;4;1;0.99;1.98;37.69;27.31;36.46;44.84
73;4.5;1;0.95;2;39.82;35.07;31.36;39.54
74;4;1;1.43;2.11;38;29.05;37.11;41.28
75;2.5;1;1.78;2.16;40.01;41.87;33.93;29.22
76;4;2;1.05;2.16;41.12;31.93;22.51;36.63
77;5;2;0.2;2.22;45.98;36.35;22.89;32.13
79;5;2;0.2;2.31;42.07;30.73;28.22;42.63
80;4.5;1;1.44;2.32;35.14;30.67;34.5;37.79
81;4;1;1.08;2.36;36.73;34.44;34.95;37.04
82;5;1;0.98;2.4;37.61;45.01;33.55;46.04
83;4.5;1;1.18;2.46;27.08;24.09;33.06;37.08
84;4;1;1.24;2.5;41.27;37.71;26.58;31.4
85;3.5;1;1.43;2.55;34.98;29.28;29.6;28.2
86;2.5;1;1.95;2.73;34.41;26.71;37.8;43.03
87;3.5;1;1.49;2.82;35.96;32.99;33.45;34.4
88;3.5;1;1.31;2.96;41.18;28.37;27.84;38.71
89;3;1;2.04;3.4;36.92;32.09;38.66;37.81
90;3.5;1;1.84;3.72;35.51;30.97;35.64;42.24
91;2;1;3;5.38;38.86;12.77;23.5;43.49
92;2;1;3.28;5.47;37.07;28.85;33.35;38.38
93;2;1;4.76;7.36;19.8;5.03;43.15;48.67
